"count","country","terminatingruleid","clientip","uri"
"335898","US","Global-rate-limit","167.172.230.190","/customer/account/login"
"334261","US","Global-rate-limit","167.172.230.168","/customer/account/login"
"59436","GB","LB_india_US_unblock","178.128.175.191","/catalogsearch/result/"
"48230","GB","LB_india_US_unblock","209.97.137.215","/catalogsearch/result/"
"24049","CA","LB_india_US_unblock","159.89.122.55","/customer/account/login"
"18014","CA","LB_india_US_unblock","165.227.38.217","/customer/account/login"
"521","NL","LB_india_US_unblock","185.191.171.19","/catalogsearch/result/index/"
"516","NL","LB_india_US_unblock","185.191.171.34","/catalogsearch/result/index/"
"515","PA","LB_india_US_unblock","45.227.253.58","/bra-online/underwired-bra/"
"511","NL","LB_india_US_unblock","185.191.171.9","/catalogsearch/result/index/"
"508","NL","LB_india_US_unblock","185.191.171.18","/catalogsearch/result/index/"
"505","NL","LB_india_US_unblock","185.191.171.17","/catalogsearch/result/index/"
"497","NL","LB_india_US_unblock","185.191.171.20","/catalogsearch/result/index/"
"492","NL","LB_india_US_unblock","185.191.171.10","/catalogsearch/result/index/"
"487","NL","LB_india_US_unblock","185.191.171.21","/catalogsearch/result/index/"
"482","NL","LB_india_US_unblock","185.191.171.33","/catalogsearch/result/index/"
"480","NL","LB_india_US_unblock","185.191.171.25","/catalogsearch/result/index/"
"480","NL","LB_india_US_unblock","185.191.171.24","/catalogsearch/result/index/"
"470","NL","LB_india_US_unblock","185.191.171.1","/catalogsearch/result/index/"
"466","NL","LB_india_US_unblock","185.191.171.35","/catalogsearch/result/index/"
"458","NL","LB_india_US_unblock","185.191.171.7","/catalogsearch/result/index/"
"455","NL","LB_india_US_unblock","185.191.171.6","/catalogsearch/result/index/"
"453","NL","LB_india_US_unblock","185.191.171.5","/catalogsearch/result/index/"
"451","NL","LB_india_US_unblock","185.191.171.8","/catalogsearch/result/index/"
"448","NL","LB_india_US_unblock","185.191.171.4","/catalogsearch/result/index/"
"440","-","LB_india_US_unblock","64.233.173.24","/.well-known/assetlinks.json"
"440","-","LB_india_US_unblock","64.233.173.27","/.well-known/assetlinks.json"
"438","NL","LB_india_US_unblock","185.191.171.3","/catalogsearch/result/index/"
"434","NL","LB_india_US_unblock","185.191.171.2","/catalogsearch/result/index/"
"430","NL","LB_india_US_unblock","185.191.171.23","/catalogsearch/result/index/"
"423","-","LB_india_US_unblock","64.233.173.23","/.well-known/assetlinks.json"
"422","-","LB_india_US_unblock","64.233.173.22","/.well-known/assetlinks.json"
"408","-","LB_india_US_unblock","64.233.173.26","/.well-known/assetlinks.json"
"396","NL","LB_india_US_unblock","185.191.171.26","/catalogsearch/result/index/"
"393","-","LB_india_US_unblock","64.233.173.25","/.well-known/assetlinks.json"
"385","CN","LB_india_US_unblock","121.232.52.149","/phpmyadmin/"
"381","NL","LB_india_US_unblock","185.191.171.14","/catalogsearch/result/index/"
"377","NL","LB_india_US_unblock","185.191.171.16","/catalogsearch/result/index/"
"361","NL","LB_india_US_unblock","185.191.171.22","/catalogsearch/result/index/"
"353","NL","LB_india_US_unblock","185.191.171.12","/catalogsearch/result/index/"
"349","NL","LB_india_US_unblock","185.191.171.11","/catalogsearch/result/index/"
"342","NL","LB_india_US_unblock","185.191.171.13","/catalogsearch/result/index/"
"339","NL","LB_india_US_unblock","185.191.171.15","/catalogsearch/result/index/"
"298","CA","LB_india_US_unblock","64.233.172.125","/"
"241","CA","LB_india_US_unblock","64.233.172.123","/"
"236","CA","LB_india_US_unblock","64.233.172.121","/"
"232","DE","LB_india_US_unblock","136.243.70.68","/robots.txt"
"208","-","LB_india_US_unblock","64.233.173.61","/.well-known/assetlinks.json"
"200","CZ","LB_india_US_unblock","77.75.73.26","/robots.txt"
"185","-","LB_india_US_unblock","64.233.173.40","/.well-known/assetlinks.json"
"182","-","LB_india_US_unblock","64.233.173.57","/.well-known/assetlinks.json"
"177","FR","LB_india_US_unblock","46.226.108.155","/"
"171","-","LB_india_US_unblock","64.233.173.44","/.well-known/assetlinks.json"
"160","-","LB_india_US_unblock","64.233.173.42","/.well-known/assetlinks.json"
"153","CA","LB_india_US_unblock","64.233.172.115","/"
"143","CA","LB_india_US_unblock","64.233.172.113","/"
"139","CA","LB_india_US_unblock","64.233.172.117","/"
"127","GB","LB_india_US_unblock","45.146.164.186","/"
"122","CA","LB_india_US_unblock","173.252.95.17","/bra-online/"
"121","RU","LB_india_US_unblock","77.88.5.16","/robots.txt"
"120","-","LB_india_US_unblock","141.0.11.13","/customer/section/load/"
"118","CA","LB_india_US_unblock","173.252.95.5","/bra-online/"
"110","CA","LB_india_US_unblock","173.252.95.7","/bra-online/"
"110","IE","LB_india_US_unblock","80.94.68.138","/media/favicon/default/favicon.png"
"110","CA","LB_india_US_unblock","38.140.46.186","/media/favicon/default/favicon.png"
"109","CA","LB_india_US_unblock","173.252.95.24","/bra-online/"
"107","CA","LB_india_US_unblock","173.252.95.119","/bra-online/"
"106","CA","LB_india_US_unblock","173.252.95.26","/bra-online/"
"105","CA","LB_india_US_unblock","173.252.95.27","/bra-online/"
"104","CA","LB_india_US_unblock","173.252.95.12","/bra-online/"
"104","CA","LB_india_US_unblock","173.252.95.120","/bra-online/"
"104","-","LB_india_US_unblock","66.249.82.136","/media/ox/sizeguide/small/768-x-240-gif.gif"
"103","RU","LB_india_US_unblock","195.54.160.21","/"
"101","CA","LB_india_US_unblock","173.252.95.25","/bra-online/"
"100","CA","LB_india_US_unblock","173.252.95.20","/bra-online/"
"100","CA","LB_india_US_unblock","173.252.95.116","/bra-online/"
"100","CA","LB_india_US_unblock","173.252.95.117","/bra-online/"
"99","CA","LB_india_US_unblock","173.252.95.2","/bra-online/"
"99","CA","LB_india_US_unblock","173.252.95.14","/bra-online/"
"99","CA","LB_india_US_unblock","173.252.95.10","/bra-online/"
"99","CA","LB_india_US_unblock","173.252.95.6","/bra-online/"
"98","CA","LB_india_US_unblock","173.252.95.29","/bra-online/"
"97","CA","LB_india_US_unblock","173.252.95.22","/bra-online/"
"97","CA","LB_india_US_unblock","173.252.95.19","/bra-online/"
"96","CA","LB_india_US_unblock","64.233.172.108","/"
"96","CA","LB_india_US_unblock","64.233.172.104","/"
"95","CA","LB_india_US_unblock","173.252.95.11","/bra-online/"
"95","CA","LB_india_US_unblock","173.252.95.4","/bra-online/"
"93","CA","LB_india_US_unblock","173.252.95.1","/bra-online/"
"93","CA","LB_india_US_unblock","173.252.95.3","/bra-online/"
"92","CA","LB_india_US_unblock","173.252.95.9","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.111","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.31","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.118","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.21","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.16","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.28","/bra-online/"
"90","CA","LB_india_US_unblock","173.252.95.13","/bra-online/"
"90","-","LB_india_US_unblock","66.249.82.135","/media/ox/sizeguide/small/768-x-240-gif.gif"
"89","CA","LB_india_US_unblock","173.252.95.15","/bra-online/"
